date,location,state,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
12/2/21,Utah,UT,4120360,5045810,2079357,55.74,128.52,1787152,64.86,157.39,180,16597,5177,0.817
11/26/21,Vermont,VT,,,,,,,,,,5165,8277,
11/27/21,Vermont,VT,,,,,,,,,,4677,7495,
11/28/21,Vermont,VT,,,,,,,,,,4109,6585,
11/29/21,Vermont,VT,1119023,1295970,532935,72.87,179.33,454670,85.41,207.69,,3743,5999,0.863
11/30/21,Vermont,VT,1120308,1301670,533218,72.88,179.54,454783,85.45,208.6,1285,3227,5172,0.861
12/1/21,Vermont,VT,1123052,1309140,533790,72.98,179.98,455418,85.54,209.8,2744,3064,4910,0.858
12/2/21,Vermont,VT,1126723,1320810,534603,73.08,180.57,456006,85.68,211.67,3671,3090,4952,0.853
11/26/21,Veterans Health,,,,,,,,,,,15655,,
11/27/21,Veterans Health,,,,,,,,,,,13365,,
11/28/21,Veterans Health,,,,,,,,,,,11156,,
11/29/21,Veterans Health,,6511414,7261410,3220627,,,2889360,,,,10760,,0.897
11/30/21,Veterans Health,,6511437,7271910,3220639,,,2889363,,,23,10682,,0.895
12/1/21,Veterans Health,,6531925,7350680,3225841,,,2890558,,,20488,10550,,0.889
12/2/21,Veterans Health,,6558562,7352860,3232349,,,2891886,,,26637,12831,,0.892
11/26/21,Virgin Islands,VI,,,,,,,,,,711,6689,
11/27/21,Virgin Islands,VI,,,,,,,,,,177,1665,
11/28/21,Virgin Islands,VI,,,,,,,,,,199,1872,
11/29/21,Virgin Islands,VI,119374,124260,60068,48.92,112.31,52002,56.51,116.91,,214,2013,0.961
11/30/21,Virgin Islands,VI,119808,124560,60195,49,112.72,52087,56.63,117.19,434,222,2089,0.962
12/1/21,Virgin Islands,VI,120496,127300,60503,49.1,113.37,52184,56.92,119.77,688,272,2559,0.947
12/2/21,Virgin Islands,VI,120929,127400,60632,49.16,113.77,52251,57.04,119.86,433,311,2926,0.949
11/26/21,Virginia,VA,,,,,,,,,,42239,4949,
11/27/21,Virginia,VA,,,,,,,,,,40309,4723,
11/28/21,Virginia,VA,,,,,,,,,,39219,4595,
11/29/21,Virginia,VA,13075460,15561375,6444314,64.87,153.19,5537205,75.5,182.31,,36260,4248,0.84
11/30/21,Virginia,VA,13100880,15628535,6451445,64.94,153.49,5542940,75.58,183.1,25420,35498,4159,0.838
12/1/21,Virginia,VA,13133903,15686355,6459248,65.04,153.87,5551137,75.67,183.78,33023,35826,4197,0.837
12/2/21,Virginia,VA,13178709,15756175,6471873,65.19,154.4,5564468,75.82,184.6,44806,36731,4303,0.836
11/26/21,Washington,WA,,,,,,,,,,30268,3975,
11/27/21,Washington,WA,,,,,,,,,,25088,3295,
11/28/21,Washington,WA,,,,,,,,,,26168,3436,
11/29/21,Washington,WA,11268717,13915795,5520316,64.87,147.98,4939606,72.49,182.74,,27327,3589,0.81
11/30/21,Washington,WA,11377078,13976625,5552276,65.04,149.41,4953066,72.91,183.54,108361,26338,3459,0.814
12/1/21,Washington,WA,11420671,14040315,5560529,65.19,149.98,4963827,73.02,184.38,43593,27524,3614,0.813
12/2/21,Washington,WA,11468556,14156605,5569440,65.3,150.61,4972495,73.14,185.91,47885,33201,4360,0.81
11/26/21,West Virginia,WV,,,,,,,,,,316,176,
11/27/21,West Virginia,WV,,,,,,,,,,236,132,
11/28/21,West Virginia,WV,,,,,,,,,,195,109,
11/29/21,West Virginia,WV,1690796,3371505,966073,41.54,94.34,744422,53.91,188.13,,223,124,0.501
11/30/21,West Virginia,WV,1690860,3379485,966272,41.54,94.35,744500,53.92,188.57,64,215,120,0.5
12/1/21,West Virginia,WV,1691322,3394645,966553,41.55,94.37,744614,53.93,189.42,462,218,122,0.498
12/2/21,West Virginia,WV,2126798,3406605,1236284,48.93,118.67,876911,68.98,190.09,435476,62400,34819,0.624
11/26/21,Wisconsin,WI,,,,,,,,,,26794,4602,
11/27/21,Wisconsin,WI,,,,,,,,,,23931,4110,
11/28/21,Wisconsin,WI,,,,,,,,,,21112,3626,
11/29/21,Wisconsin,WI,8186207,9222535,3830306,59.47,140.6,3462365,65.79,158.4,,20964,3601,0.888
11/30/21,Wisconsin,WI,8194809,9291735,3832519,59.5,140.75,3464470,65.82,159.59,8602,20595,3537,0.882
12/1/21,Wisconsin,WI,8221834,9332965,3837171,59.59,141.21,3469836,65.9,160.29,27025,20252,3478,0.881
12/2/21,Wisconsin,WI,8261595,9354055,3844312,59.72,141.89,3477030,66.03,160.66,39761,22900,3933,0.883
11/26/21,Wyoming,WY,,,,,,,,,,1493,2580,
11/27/21,Wyoming,WY,,,,,,,,,,1335,2307,
11/28/21,Wyoming,WY,,,,,,,,,,1511,2611,
11/29/21,Wyoming,WY,630922,812765,309914,45.52,109.01,263454,53.55,140.43,,1708,2951,0.776
11/30/21,Wyoming,WY,632809,813665,310481,45.57,109.34,263763,53.65,140.59,1887,1305,2255,0.778
12/1/21,Wyoming,WY,635030,815645,311106,45.64,109.72,264155,53.75,140.93,2221,1601,2766,0.779
12/2/21,Wyoming,WY,637996,817415,311795,45.74,110.24,264744,53.87,141.24,2966,1822,3148,0.781
